window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
213,1065.0,1075.0,1.0,4.2884983e-22,3.901907e-30,0.99999964,3.4334422e-20,3.1771023e-07
214,1070.0,1080.0,1.0,5.028078e-19,6.0567874e-27,0.9999999,4.171343e-22,8.727931e-08
215,1075.0,1085.0,1.0,8.318373e-20,8.36126e-27,1.0,1.137241e-22,6.0196657e-09
216,1080.0,1090.0,1.0,9.945672e-24,2.7878746e-31,1.0,8.46217e-21,2.2527434e-08
217,1085.0,1095.0,1.0,2.4742742e-18,2.625676e-25,1.0,3.157418e-28,3.1956834e-10
218,1090.0,1100.0,1.0,1.0806518e-11,2.2689816e-17,1.0,5.531904e-32,2.763602e-11
219,1095.0,1105.0,1.0,2.232371e-19,3.6334902e-26,1.0,1.6167153e-22,2.4454219e-09
220,1100.0,1110.0,1.0,2.1793136e-24,2.1044693e-32,0.99999774,3.6801477e-16,2.2324914e-06
221,1105.0,1115.0,1.0,1.6113345e-14,1.4399827e-16,1.0,5.30876e-28,2.4006205e-14
222,1110.0,1120.0,1.0,1.1083424e-18,6.614986e-26,1.0,3.921061e-25,6.328441e-09
223,1115.0,1125.0,1.0,2.634272e-19,1.8541484e-27,1.0,6.1988414e-25,4.919543e-08
224,1120.0,1130.0,1.0,1.2459106e-17,7.0435646e-22,1.0,3.325702e-27,5.0693104e-12
225,1125.0,1135.0,1.0,5.1891667e-13,1.6552807e-16,1.0,1.7962592e-27,9.0274744e-13
226,1130.0,1140.0,1.0,2.16632e-14,5.93577e-18,1.0,8.203293e-27,2.8656988e-12
227,1135.0,1145.0,1.0,2.2485956e-24,1.2892267e-32,0.99999976,7.56622e-21,2.9260747e-07
228,1140.0,1150.0,1.0,9.596909e-21,2.0289145e-29,0.999998,5.314482e-21,2.0381422e-06
229,1145.0,1155.0,1.0,4.3061342e-16,1.1237688e-22,1.0,1.1089988e-24,9.06184e-09
230,1150.0,1160.0,1.0,2.7574276e-21,1.807733e-26,1.0,1.2187406e-24,1.25117494e-11
231,1155.0,1165.0,1.0,1.3765111e-25,1.0730388e-32,1.0,5.40468e-19,6.0553296e-09
232,1160.0,1170.0,1.0,3.040045e-25,3.4184457e-32,1.0,6.324713e-20,3.2302605e-09
233,1165.0,1175.0,1.0,2.1379725e-21,4.313899e-29,0.9999995,8.737189e-19,4.402165e-07
234,1170.0,1180.0,1.0,6.7736145e-18,8.846534e-25,0.9999999,2.8771317e-21,9.123602e-08
235,1175.0,1185.0,1.0,4.0486246e-21,7.118388e-29,1.0,4.9339018e-23,2.2917568e-08
236,1180.0,1190.0,1.0,7.5053726e-19,1.6291372e-26,1.0,5.1642533e-25,1.23114265e-08
237,1185.0,1195.0,1.0,2.8373026e-16,1.1975514e-22,1.0,4.0917485e-25,2.5785143e-09
238,1190.0,1200.0,0.99999976,2.2050928e-07,2.0686657e-11,1.0,7.480745e-31,9.487135e-12
239,1195.0,1205.0,0.94416726,0.0015695832,0.054263204,1.0,1.2250483e-37,5.2168438e-17
240,1200.0,1210.0,1.0,1.8150122e-15,1.4334812e-18,1.0,3.7418126e-27,7.2217243e-13
241,1205.0,1215.0,1.0,2.8860249e-21,7.6588626e-27,1.0,7.561684e-23,2.534966e-10
242,1210.0,1220.0,1.0,7.9819155e-16,7.12562e-20,1.0,1.0781509e-25,4.925617e-12
243,1215.0,1225.0,1.0,4.6894594e-10,6.0076335e-09,1.0,2.7579138e-27,2.02944e-15
244,1220.0,1230.0,1.0,3.5405218e-16,3.3614394e-20,1.0,1.0546993e-25,7.638672e-12
245,1225.0,1235.0,1.0,8.0848813e-16,8.2106755e-21,1.0,6.7341134e-27,8.692648e-11
246,1230.0,1240.0,1.0,6.269408e-15,7.3503295e-19,1.0,9.515592e-26,2.253316e-11
247,1235.0,1245.0,1.0,5.9363974e-20,6.522471e-27,0.9999999,5.0626992e-20,1.4818534e-07
248,1240.0,1250.0,1.0,5.2723335e-20,2.6596572e-26,1.0,8.761015e-21,2.3257567e-08
249,1245.0,1255.0,1.0,7.896172e-18,1.3412977e-20,1.0,2.047182e-24,1.6234568e-12
250,1250.0,1260.0,1.0,2.5446763e-27,7.519608e-36,0.9999995,1.792243e-17,5.2531783e-07
251,1255.0,1265.0,1.0,1.5394187e-21,2.269262e-29,0.99999964,4.894074e-20,3.3683665e-07
252,1260.0,1270.0,1.0,2.4406317e-09,9.091006e-10,1.0,4.276961e-31,1.1669618e-15
253,1265.0,1275.0,1.0,2.953366e-10,5.2480456e-08,1.0,4.35621e-32,5.457014e-18
254,1270.0,1280.0,1.0,3.3590177e-12,9.25772e-12,1.0,3.0980414e-33,1.235169e-16
255,1275.0,1285.0,1.0,1.340718e-15,4.736092e-18,1.0,6.5102526e-31,2.1797863e-14
256,1280.0,1290.0,1.0,2.0933059e-19,6.6096955e-24,1.0,2.359187e-25,9.433184e-12
